"tag","wav_name","start_time_local","end_time_local"
"cc23_BAKR","cc23_BAKR057.wav",2023-01-14 01:01:16,2023-01-14 09:01:01
"cc23_BAKR","cc23_BAKR058.wav",2023-01-14 09:01:18,2023-01-14 17:01:03
"cc23_BAKR","cc23_BAKR059.wav",2023-01-14 17:01:20,2023-01-15 01:01:05
"cc23_BAKR","cc23_BAKR060.wav",2023-01-15 01:01:22,2023-01-15 08:28:14
"cc23_BAKR","cc23_BAKR061.wav",2023-01-15 08:28:16,2023-01-15 09:01:09
"cc23_BAKR","cc23_BAKR062.wav",2023-01-15 09:01:24,2023-01-15 17:01:09
"cc23_BAKR","cc23_BAKR063.wav",2023-01-15 17:01:26,2023-01-16 01:01:11
"cc23_BAKR","cc23_BAKR064.wav",2023-01-16 01:01:28,2023-01-16 08:13:59
"cc23_BAKR","cc23_BAKR065.wav",2023-01-16 08:14:01,2023-01-16 09:01:14
"cc23_BAKR","cc23_BAKR066.wav",2023-01-16 09:01:30,2023-01-16 17:01:15
"cc23_BAKR","cc23_BAKR067.wav",2023-01-16 17:01:32,2023-01-17 01:01:17
"cc23_BAKR","cc23_BAKR068.wav",2023-01-17 01:01:34,2023-01-17 09:01:19
"cc23_BAKR","cc23_BAKR069.wav",2023-01-17 09:01:36,2023-01-17 17:01:21
"cc23_BAKR","cc23_BAKR070.wav",2023-01-17 17:01:38,2023-01-18 01:01:23
"cc23_BAKR","cc23_BAKR071.wav",2023-01-18 01:01:40,2023-01-18 09:01:25
"cc23_BAKR","cc23_BAKR072.wav",2023-01-18 09:01:42,2023-01-18 17:01:28
"cc23_BAKR","cc23_BAKR073.wav",2023-01-18 17:01:44,2023-01-19 00:50:15
"cc23_BAKR","cc23_BAKR074.wav",2023-01-19 00:50:17,2023-01-19 01:01:31
"cc23_BAKR","cc23_BAKR075.wav",2023-01-19 01:01:46,2023-01-19 09:01:31
"cc23_BAKR","cc23_BAKR076.wav",2023-01-19 09:01:47,2023-01-19 17:01:32
"cc23_BAKR","cc23_BAKR077.wav",2023-01-19 17:01:49,2023-01-19 23:58:25
"cc23_BAKR","cc23_BAKR078.wav",2023-01-19 23:58:27,2023-01-20 01:01:36
"cc23_BAKR","cc23_BAKR079.wav",2023-01-20 01:01:51,2023-01-20 09:01:36
"cc23_BAKR","cc23_BAKR080.wav",2023-01-20 09:01:53,2023-01-20 17:01:38
"cc23_BAKR","cc23_BAKR081.wav",2023-01-20 17:01:55,2023-01-21 00:30:00
"cc23_BAKR","cc23_BAKR082.wav",2023-01-21 00:30:02,2023-01-21 01:01:42
"cc23_BAKR","cc23_BAKR083.wav",2023-01-21 01:01:57,2023-01-21 07:47:50
"cc23_BAKR","cc23_BAKR084.wav",2023-01-21 07:47:52,2023-01-21 09:01:44
"cc23_BAKR","cc23_BAKR085.wav",2023-01-21 09:01:59,2023-01-21 15:52:55
"cc23_BLG","cc23_BLG001.wav",2023-01-01 17:00:03,2023-01-02 00:23:25
"cc23_BLG","cc23_BLG002.wav",2023-01-02 00:23:27,2023-01-02 00:59:47
"cc23_BLG","cc23_BLG003.wav",2023-01-02 01:00:05,2023-01-02 08:44:56
"cc23_BLG","cc23_BLG004.wav",2023-01-02 08:44:58,2023-01-02 08:59:50
"cc23_BLG","cc23_BLG005.wav",2023-01-02 09:00:07,2023-01-02 16:59:51
"cc23_BLG","cc23_BLG006.wav",2023-01-02 17:00:09,2023-01-03 00:56:52
"cc23_BLG","cc23_BLG007.wav",2023-01-03 00:56:54,2023-01-03 00:59:54
"cc23_BLG","cc23_BLG008.wav",2023-01-03 01:00:11,2023-01-03 08:40:29
"cc23_BLG","cc23_BLG009.wav",2023-01-03 08:40:31,2023-01-03 08:59:56
"cc23_BLG","cc23_BLG010.wav",2023-01-03 09:00:13,2023-01-03 16:59:57
"cc23_BLG","cc23_BLG011.wav",2023-01-03 17:00:15,2023-01-04 00:59:59
"cc23_BLG","cc23_BLG012.wav",2023-01-04 01:00:17,2023-01-04 08:48:53
"cc23_BLG","cc23_BLG013.wav",2023-01-04 08:48:55,2023-01-04 09:00:02
"cc23_BLG","cc23_BLG014.wav",2023-01-04 09:00:19,2023-01-04 17:00:03
"cc23_BLG","cc23_BLG015.wav",2023-01-04 17:00:21,2023-01-05 01:00:05
"cc23_BLG","cc23_BLG016.wav",2023-01-05 01:00:23,2023-01-05 07:58:47
"cc23_BLG","cc23_BLG017.wav",2023-01-05 07:58:49,2023-01-05 09:00:09
"cc23_BLG","cc23_BLG018.wav",2023-01-05 09:00:25,2023-01-05 16:27:35
"cc23_BLG","cc23_BLG019.wav",2023-01-05 16:27:37,2023-01-05 17:00:11
"cc23_BLG","cc23_BLG020.wav",2023-01-05 17:00:27,2023-01-06 00:36:07
"cc23_BLG","cc23_BLG021.wav",2023-01-06 00:36:09,2023-01-06 01:00:13
"cc23_BLG","cc23_BLG022.wav",2023-01-06 01:00:29,2023-01-06 09:00:13
"cc23_BLG","cc23_BLG023.wav",2023-01-06 09:00:31,2023-01-06 17:00:15
"cc23_BLG","cc23_BLG024.wav",2023-01-06 17:00:33,2023-01-07 01:00:17
"cc23_BLG","cc23_BLG025.wav",2023-01-07 01:00:35,2023-01-07 07:18:12
"cc23_BLG","cc23_BLG026.wav",2023-01-07 07:18:14,2023-01-07 09:00:21
"cc23_BLG","cc23_BLG027.wav",2023-01-07 09:00:37,2023-01-07 17:00:21
"cc23_BLG","cc23_BLG028.wav",2023-01-07 17:00:39,2023-01-08 00:53:03
"cc23_BLG","cc23_BLG029.wav",2023-01-08 00:53:05,2023-01-08 01:00:25
